method,coverage_percent,coverage_alpha50_percent,valid_pixels,total_pixels,image_id,point_to_input__count,point_to_input__mean_mm,point_to_input__median_mm,point_to_input__p95_mm,point_to_input__rmse_mm,point_to_input__above_30mm_percent,common_all5_point_to_input__count,common_all5_point_to_input__mean_mm,common_all5_point_to_input__median_mm,common_all5_point_to_input__p95_mm,common_all5_point_to_input__rmse_mm,common_all5_point_to_input__above_30mm_percent,own_valid_depth__count,own_valid_depth__mean_mm,own_valid_depth__median_mm,own_valid_depth__p95_mm,own_valid_depth__rmse_mm,own_valid_depth__above_30mm_percent,own_valid_depth__behind_first_surface_gt30mm_percent,own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_depth__count,common_all5_depth__mean_mm,common_all5_depth__median_mm,common_all5_depth__p95_mm,common_all5_depth__rmse_mm,common_all5_depth__above_30mm_percent,common_all5_depth__behind_first_surface_gt30mm_percent,common_all5_depth__in_front_of_surface_gt30mm_percent,alpha50_own_valid_depth__count,alpha50_own_valid_depth__mean_mm,alpha50_own_valid_depth__median_mm,alpha50_own_valid_depth__p95_mm,alpha50_own_valid_depth__rmse_mm,alpha50_own_valid_depth__above_30mm_percent,alpha50_own_valid_depth__behind_first_surface_gt30mm_percent,alpha50_own_valid_depth__in_front_of_surface_gt30mm_percent,common_all5_alpha50_depth__count,common_all5_alpha50_depth__mean_mm,common_all5_alpha50_depth__median_mm,common_all5_alpha50_depth__p95_mm,common_all5_alpha50_depth__rmse_mm,common_all5_alpha50_depth__above_30mm_percent,common_all5_alpha50_depth__behind_first_surface_gt30mm_percent,common_all5_alpha50_depth__in_front_of_surface_gt30mm_percent,interior_common_all5_depth__count,interior_common_all5_depth__mean_mm,interior_common_all5_depth__median_mm,interior_common_all5_depth__p95_mm,interior_common_all5_depth__rmse_mm,interior_common_all5_depth__above_30mm_percent,interior_common_all5_depth__behind_first_surface_gt30mm_percent,interior_common_all5_depth__in_front_of_surface_gt30mm_percent
method_a_gaussian,100.0,100.0,709120,709120,3202,709120,9.070241297587947,6.3740003011507165,14.565958812823453,23.111578927258577,1.9070115072202167,447499,10.258944217730509,7.28292164354426,16.37479513893551,26.00853790077194,2.366262270977142,709120,32.416371147316426,6.443635225296007,95.50544328689553,145.5386676479898,15.143276173285198,0.10040613718411552,15.042870036101084,447499,44.17341294282594,10.7659435272216,134.2023330688476,175.89662105409715,22.3618376800842,0.09564267182719961,22.266195008257,709120,32.416371147316426,6.443635225296007,95.50544328689553,145.5386676479898,15.143276173285198,0.10040613718411552,15.042870036101084,447499,44.17341294282594,10.7659435272216,134.2023330688476,175.89662105409715,22.3618376800842,0.09564267182719961,22.266195008257,282621,15.29270524978233,5.31808090209962,23.390514373779148,80.91403932777736,3.476387104992198,0.07571978020033897,3.400667324791859
method_b_zbuffer,63.106244359205775,63.106244359205775,447499,709120,3202,447499,2.643126762370946,2.260757859733367,5.8492639524343275,3.10588974752265,0.0,447499,2.643126762370946,2.260757859733367,5.8492639524343275,3.10588974752265,0.0,447499,137.3205781977022,6.474464416504233,949.0687030792235,349.57080627043285,34.173931114929864,30.864203048498435,3.3097280664314335,447499,137.3205781977022,6.474464416504233,949.0687030792235,349.57080627043285,34.173931114929864,30.864203048498435,3.3097280664314335,447499,137.3205781977022,6.474464416504233,949.0687030792235,349.57080627043285,34.173931114929864,30.864203048498435,3.3097280664314335,447499,137.3205781977022,6.474464416504233,949.0687030792235,349.57080627043285,34.173931114929864,30.864203048498435,3.3097280664314335,282621,182.76261324693394,3.8173103332521663,1028.0331392288206,408.2128424597741,42.11965848256145,42.09241351491927,0.027244967642178042
method_c_first_center_s05,100.0,100.0,709120,709120,3202,709120,16.052089687982118,16.92595461624635,23.307547728846572,16.852106298043285,0.09363718411552346,447499,15.754608200607587,17.017251239645603,24.176414941358498,16.80715317126524,0.14815675565755454,709120,68.07958668983518,25.652280330657916,183.65770530700647,214.05341310117115,40.19954309566787,0.0,40.19954309566787,447499,85.75464664185458,32.47907257080085,256.2944969177246,254.70447496626625,53.83095828147102,0.0,53.83095828147102,709120,68.07958668983518,25.652280330657916,183.65770530700647,214.05341310117115,40.19954309566787,0.0,40.19954309566787,447499,85.75464664185458,32.47907257080085,256.2944969177246,254.70447496626625,53.83095828147102,0.0,53.83095828147102,282621,48.22465662811122,22.831052780151406,72.3249244689943,186.39282695971156,31.617254202624718,0.0,31.617254202624718
method_d_first_peak_s05,100.0,100.0,709120,709120,3202,709120,12.712190628740638,12.488727131715036,20.884788689132574,13.540165010943305,0.022281137184115524,447499,13.499403747438583,13.832699708989109,22.046476658508205,14.517364134846853,0.035307341468919486,709120,62.482188541507384,17.977236747741543,180.82986593246434,212.7529288387475,31.353085514440433,0.0,31.353085514440433,447499,81.2312135360376,25.301887512206633,253.50395545959398,253.497523268222,44.54646826026427,0.0,44.54646826026427,709120,62.482188541507384,17.977236747741543,180.82986593246434,212.7529288387475,31.353085514440433,0.0,31.353085514440433,447499,81.2312135360376,25.301887512206633,253.50395545959398,253.497523268222,44.54646826026427,0.0,44.54646826026427,282621,43.650746964732946,15.19787979125975,69.0587768554689,185.31100151779788,19.917132838677947,0.0,19.917132838677947
method_e_first_peak_s01,98.48784408844764,81.48860559566788,698397,709120,3202,698397,6.008809171931413,4.546540807708128,15.014515255699672,7.362241082372193,0.0,447499,7.493122977167421,6.552744959696321,16.47258817941917,8.777474369283697,0.0,698397,39.237686422260815,5.784751892089712,122.47640190124514,164.24261826045614,22.27085740631761,6.892784476451073,15.378072929866537,447499,48.40963420298399,10.400114059448295,149.4497322082515,196.38573323083392,25.211676450673632,2.0158704265260927,23.19580602414754,577852,41.94764058556912,7.39139699935909,132.79777517318703,178.01338436054766,22.086797311422302,3.5631961124993943,18.523601198922908,447499,48.40963420298399,10.400114059448295,149.4497322082515,196.38573323083392,25.211676450673632,2.0158704265260927,23.19580602414754,282621,15.672641003842303,4.424148559570185,32.35652732849115,103.93900386018748,5.1344379929304615,3.138124909330871,1.996313083599591
method_a_gaussian,99.99971796028882,99.99971796028882,709118,709120,3340,709118,6.288514684250442,5.605261154589216,10.276783459209545,8.358348440349108,0.8535955933991239,346356,6.4099119771932695,5.744413266086629,10.93459927527378,8.658522013587225,1.0344847497950087,709086,10.99633009886122,4.491235733032228,28.448943614959642,36.431006845619535,4.521172326064821,0.2669633866696,4.254208939395221,346356,13.522017038175925,5.1436343193055345,34.658825397491434,41.11364247085423,6.665685017727426,0.4212428830451905,6.2444421346822345,709086,10.99633009886122,4.491235733032228,28.448943614959642,36.431006845619535,4.521172326064821,0.2669633866696,4.254208939395221,346356,13.522017038175925,5.1436343193055345,34.658825397491434,41.11364247085423,6.665685017727426,0.4212428830451905,6.2444421346822345,307658,8.88308378578659,4.559723854065001,21.68775415420529,26.861832564330207,2.5323573578453997,0.47000240526818743,2.0623549525772127
method_b_zbuffer,48.84377820397112,48.84377820397112,346361,709120,3340,346361,1.598822989750795,1.5479338733695969,2.8266163983058923,1.746778027117199,0.0,346356,1.5988197787186913,1.5479332802210077,2.826601353886925,1.7467753641155352,0.0,346356,121.31771854357615,40.82551956176761,504.9612641334533,212.1801137338303,54.09780688078162,53.568582614419846,0.529224266361778,346356,121.31771854357615,40.82551956176761,504.9612641334533,212.1801137338303,54.09780688078162,53.568582614419846,0.529224266361778,346356,121.31771854357615,40.82551956176761,504.9612641334533,212.1801137338303,54.09780688078162,53.568582614419846,0.529224266361778,346356,121.31771854357615,40.82551956176761,504.9612641334533,212.1801137338303,54.09780688078162,53.568582614419846,0.529224266361778,307658,126.4369816825347,45.90560436248781,509.9222269058226,217.56383385384032,56.415240299293366,56.415240299293366,0.0
method_c_first_center_s05,100.0,99.99971796028882,709120,709120,3340,709120,13.59055607383059,14.860648551264557,20.53008724855397,14.504856523235727,0.0,346356,12.085635523078956,13.380048412611815,19.413621875664468,13.165073822860979,0.0,709086,29.16307620260695,20.756710529327428,68.95610475540148,57.203460335668055,22.438463035513323,0.0,22.438463035513323,346356,31.232977249362172,19.941825151443492,85.53547430038455,62.61400850913995,29.530887295152965,0.0,29.530887295152965,709086,29.16307620260695,20.756710529327428,68.95610475540148,57.203460335668055,22.438463035513323,0.0,22.438463035513323,346356,31.232977249362172,19.941825151443492,85.53547430038455,62.61400850913995,29.530887295152965,0.0,29.530887295152965,307658,25.178886612639452,18.39759588241585,55.45133047103882,51.616955990437724,23.36035467954677,0.0,23.36035467954677
method_d_first_peak_s05,100.0,99.99971796028882,709120,709120,3340,709120,10.398500230603164,10.932271391827937,16.28962466418696,11.097926625544966,0.0,346356,10.059609213920652,10.535946707079216,16.959246909123706,11.021330165627626,0.0,709086,24.339289119999794,13.418025732040428,65.79612064361572,55.32087032834752,16.506178376106707,0.0,16.506178376106707,346356,27.860315450110203,13.583607673645027,82.6391868591309,61.19716405625716,24.62610724225941,0.0,24.62610724225941,709086,24.339289119999794,13.418025732040428,65.79612064361572,55.32087032834752,16.506178376106707,0.0,16.506178376106707,346356,27.860315450110203,13.583607673645027,82.6391868591309,61.19716405625716,24.62610724225941,0.0,24.62610724225941,307658,21.701108809418066,12.157184600830039,51.456908798217675,50.071733020064464,18.026184919618537,0.0,18.026184919618537
method_e_first_peak_s01,98.81740749097473,75.90633461191337,700734,709120,3340,700734,4.043359452157672,3.8846902363463847,7.375579426825629,4.4367655609920185,0.0,346356,4.333285693518563,4.28075841673312,7.979850679742502,4.813616666079737,0.0,700702,12.284814086757365,2.410208702087413,83.62929592132562,39.74883125509648,7.604802041381357,4.806322801990005,2.7984792393913533,346356,11.433463057415015,2.5460796356201465,31.936252117157004,40.01197949435057,5.606081603898878,1.2198431671459424,4.386238436752937,538256,10.631457427674434,2.366012096404968,31.018360853195315,38.896013542243,5.276113968074671,1.7456377634434175,3.5304762046312534,346356,11.433463057415015,2.5460796356201465,31.936252117157004,40.01197949435057,5.606081603898878,1.2198431671459424,4.386238436752937,307658,6.70165604989066,2.1532592773436665,18.95433030128483,25.093279337128706,2.073731221031145,1.3420746413225075,0.7316565797086375
